Y,X,scale,angle,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,feature107,feature108,feature109,feature110,feature111,feature112,feature113,feature114,feature115,feature116,feature117,feature118,feature119,feature120,feature121,feature122,feature123,feature124,feature125,feature126,feature127,feature128
315.29,369.67,5.74,-1.743,60,15,25,24,20,38,6,20,59,41,9,10,18,45,15,19,42,59,24,12,20,16,1,4,6,1,0,8,111,118,2,2,116,63,3,9,28,28,6,15,21,28,33,63,118,43,10,8,118,68,33,15,6,3,1,16,27,3,8,28,97,78,1,9,60,64,6,17,25,9,41,54,29,22,12,54,118,35,12,19,118,21,7,10,11,14,8,59,14,3,10,36,82,26,2,4,65,13,0,6,87,45,62,71,37,24,12,52,118,24,6,3,118,52,6,4,5,7,3,33,7,4,3,5,95,32,3,7
307.27,468.04,6.66,1.688,84,120,37,6,1,0,0,0,16,69,34,37,23,24,13,11,120,78,7,4,2,7,13,71,47,15,3,34,85,6,5,7,44,85,37,0,0,0,42,42,54,120,41,0,0,9,30,22,120,120,11,10,2,1,6,61,25,9,4,79,49,4,5,7,74,0,0,0,0,5,43,89,54,15,2,0,2,41,52,66,120,25,1,10,20,2,3,115,23,17,12,38,42,5,8,11,36,0,0,0,4,14,25,112,63,0,0,0,17,51,22,73,108,0,0,5,37,2,1,89,1,4,7,18,62,6,1,1
306.78,437.51,6.05,1.933,88,83,19,8,0,0,2,20,9,20,73,66,37,4,3,7,28,11,8,14,31,13,46,50,10,2,2,28,19,39,73,20,81,117,29,20,6,2,0,3,44,52,62,62,27,23,12,13,119,62,9,3,1,5,32,70,28,1,0,40,55,43,86,19,67,119,14,0,1,5,22,9,94,95,6,0,6,23,34,69,119,15,6,18,1,1,15,119,23,3,6,103,93,1,0,3,13,17,1,0,2,29,45,19,119,56,2,0,0,6,5,80,97,13,11,51,4,0,0,30,0,0,3,84,26,12,8,2
284.98,345.63,6.52,1.447,28,33,11,44,45,10,0,1,125,92,7,9,56,6,3,13,22,12,56,50,125,7,0,3,31,35,54,13,3,16,16,16,46,6,2,25,107,56,5,14,125,37,6,8,62,21,1,42,66,18,5,25,125,61,0,6,125,63,0,1,8,13,16,25,30,7,4,28,88,17,7,21,120,46,57,44,24,13,5,32,21,16,48,101,109,14,16,26,120,52,0,1,8,2,25,46,39,8,3,14,54,17,13,22,49,11,6,10,51,48,8,27,68,12,7,12,31,23,14,50,58,17,7,17,4,4,30,44
284.98,345.63,6.52,-1.618,2,3,36,56,79,9,4,7,20,12,29,67,55,7,10,15,65,45,5,25,35,6,12,14,37,14,12,32,45,9,3,13,6,1,14,32,125,57,0,1,125,12,16,18,28,17,43,95,29,9,4,38,122,45,65,47,74,13,8,27,34,7,4,30,6,20,21,36,121,33,2,2,125,35,0,10,68,12,5,32,67,14,1,64,125,29,4,9,111,44,4,18,42,5,2,30,4,10,8,9,22,53,69,16,111,3,1,4,17,13,63,57,41,4,4,16,125,77,7,11,44,9,0,1,23,24,10,51
269.92,335.67,5.96,-1.595,0,0,1,39,133,17,0,0,10,2,41,47,56,17,0,5,35,5,12,21,9,6,46,66,15,12,3,18,32,14,26,16,0,9,21,115,133,25,0,0,47,8,3,10,133,53,0,6,133,26,0,9,40,11,20,55,13,5,3,53,133,18,13,6,1,35,35,64,33,37,20,1,33,13,10,28,88,19,33,22,133,13,0,8,53,10,11,45,16,3,0,29,133,46,5,8,0,1,0,0,51,133,98,3,16,0,0,0,17,36,80,39,58,5,5,10,20,15,41,33,6,2,4,16,85,45,4,4
234.94,257.67,6.83,1.301,5,17,5,4,8,1,0,0,39,76,9,0,1,0,0,0,135,135,0,0,0,0,0,14,135,135,0,0,0,0,0,3,11,3,0,0,2,11,14,12,47,38,0,0,0,10,17,18,135,52,0,0,0,0,5,53,135,103,0,0,0,0,0,7,3,2,0,1,7,12,19,14,81,12,0,1,2,10,33,89,108,18,0,0,0,2,75,124,135,135,0,0,0,0,10,13,6,4,1,1,9,7,3,8,101,49,1,3,5,6,4,8,87,89,22,0,0,1,18,12,35,54,12,0,0,3,13,12
234.94,257.67,6.83,0.523,0,65,115,17,0,0,0,0,17,133,133,0,0,0,0,0,13,133,107,0,0,0,0,0,0,133,110,0,0,0,0,0,0,29,58,7,1,3,1,0,26,121,56,0,0,0,1,4,77,133,39,0,0,0,0,29,20,119,120,0,0,0,2,21,7,11,5,1,1,4,9,8,36,21,11,0,0,1,19,34,133,126,26,0,0,0,2,53,17,58,61,17,0,0,2,29,18,7,1,0,0,9,22,16,11,6,2,0,1,8,11,13,7,70,26,0,3,6,10,6,0,68,84,31,3,3,0,0
230.48,179.06,7.16,0.989,18,52,13,4,3,3,3,1,25,48,51,12,1,2,6,8,46,137,53,3,0,1,8,8,102,137,1,0,0,0,0,2,17,17,17,6,2,3,0,3,94,16,23,7,1,4,22,80,92,40,2,1,2,24,72,74,137,137,0,0,0,0,1,28,11,8,3,3,14,29,1,2,107,131,3,0,0,2,2,15,39,107,38,14,6,11,7,7,137,137,10,2,0,0,0,1,2,6,1,1,14,36,2,0,11,51,4,1,3,10,2,2,3,91,71,5,1,0,0,0,23,137,35,1,0,0,0,0
227.2,463.36,6.64,1.347,6,8,14,1,5,12,1,3,81,6,8,1,0,0,0,96,135,8,0,0,0,0,4,156,64,3,0,0,0,0,1,76,8,1,0,0,8,18,15,22,156,24,0,0,0,0,5,63,156,57,0,0,0,0,0,63,47,5,0,0,0,0,0,15,7,11,3,7,12,7,11,8,156,43,1,1,2,0,0,21,156,58,0,0,0,0,0,51,49,14,0,0,0,0,0,4,5,2,4,14,10,3,1,3,103,55,4,1,1,0,0,5,129,156,12,0,0,0,0,5,62,85,0,0,0,0,0,3
